Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
99,21222,species,Brown Jay,Cyanocorax morio,4,Stella's Bakery,CR-P,06 Jan 2026,L673542,S292816845,,1
100,12861,species,Brown-hooded Parrot,Pyrilia haematotis,4,Stella's Bakery,CR-P,06 Jan 2026,L673542,S292816845,,1
101,11852,species,Golden-olive Woodpecker,Colaptes rubiginosus,1,Stella's Bakery,CR-P,06 Jan 2026,L673542,S292816845,,1
102,9857,species,Lesson's Motmot,Momotus lessonii,1,Stella's Bakery,CR-P,06 Jan 2026,L673542,S292816845,,1
103,8473,species,Gray Hawk,Buteo plagiatus,1,San Marcos (Monteverde restaurant),CR-P,05 Jan 2026,L2374510,S292619051,,1
104,34957,species,Palm Tanager,Thraupis palmarum,1,Tarcoles Birding Lodge,CR-P,05 Jan 2026,L28741295,S292602297,,1
105,16073,species,Rose-throated Becard,Pachyramphus aglaiae,1,Tarcoles Birding Lodge,CR-P,05 Jan 2026,L28741295,S292602297,,1
106,4227,species,White-necked Jacobin,Florisuga mellivora,1,Tarcoles Birding Lodge,CR-P,05 Jan 2026,L28741295,S292602297,,1
107,21216,species,White-throated Magpie-Jay,Cyanocorax formosus,3,Cerro Lodge,CR-P,05 Jan 2026,L1456434,S292602377,,1
108,11562,species,Pale-billed Woodpecker,Campephilus guatemalensis,2,Cerro Lodge,CR-P,05 Jan 2026,L1456434,S292602377,,1
109,1957,species,Red-billed Pigeon,Patagioenas flavirostris,2,Cerro Lodge,CR-P,05 Jan 2026,L1456434,S292602377,,1
110,16554,species,Southern Beardless-Tyrannulet,Camptostoma obsoletum,1,Cerro Lodge,CR-P,04 Jan 2026,L1456434,S292500917,,1
111,33632,species,Montezuma Oropendola,Psarocolius montezuma,15,Carretera Pacífica Fernández Oreamuno,CR-P,04 Jan 2026,L56849546,S292462266,,1
112,34740,species,Gray-headed Tanager,Eucometis penicillata,1,PN Carara--Sendero La Meandrica,CR-P,04 Jan 2026,L442257,S292444116,,1
113,32030,species,Yellow-throated Euphonia,Euphonia hirundinacea,1,PN Carara--Sendero La Meandrica,CR-P,04 Jan 2026,L442257,S292444116,,1
114,32014,species,Scrub Euphonia,Euphonia affinis,2,PN Carara--Sendero La Meandrica,CR-P,04 Jan 2026,L442257,S292444116,,1
115,27444,species,Black-bellied Wren,Pheugopedius fasciatoventris,1,PN Carara--Sendero La Meandrica,CR-P,04 Jan 2026,L442257,S292444116,,1
116,27117,species,White-browed Gnatcatcher,Polioptila bilineata,1,PN Carara--Sendero La Meandrica,CR-P,04 Jan 2026,L442257,S292444116,,1
117,16950,species,Acadian Flycatcher,Empidonax virescens,1,PN Carara--Sendero La Meandrica,CR-P,04 Jan 2026,L442257,S292444116,,1
118,16672,species,Greenish Elaenia,Myiopagis viridicata,1,PN Carara--Sendero La Meandrica,CR-P,04 Jan 2026,L442257,S292444116,,1
119,16410,species,Slate-headed Tody-Flycatcher,Poecilotriccus sylvia,2,PN Carara--Sendero La Meandrica,CR-P,04 Jan 2026,L442257,S292444116,,1
120,16110,species,Ruddy-tailed Flycatcher,Terenotriccus erythrurus,1,PN Carara--Sendero La Meandrica,CR-P,04 Jan 2026,L442257,S292444116,,1
121,16101,species,Tropical Royal Flycatcher,Onychorhynchus coronatus,1,PN Carara--Sendero La Meandrica,CR-P,04 Jan 2026,L442257,S292444116,,1
122,15765,species,Orange-collared Manakin,Manacus aurantiacus,4,PN Carara--Sendero La Meandrica,CR-P,04 Jan 2026,L442257,S292444116,,1
123,15733,species,Velvety Manakin,Lepidothrix velutina,2,PN Carara--Sendero La Meandrica,CR-P,04 Jan 2026,L442257,S292444116,,1
124,15700,species,Long-tailed Manakin,Chiroxiphia linearis,1,PN Carara--Sendero La Meandrica,CR-P,04 Jan 2026,L442257,S292444116,,1
125,10499,species,Rufous-tailed Jacamar,Galbula ruficauda,1,PN Carara--Sendero La Meandrica,CR-P,04 Jan 2026,L442257,S292444116,,1
126,9522,species,Slaty-tailed Trogon,Trogon massena,1,PN Carara--Sendero La Meandrica,CR-P,04 Jan 2026,L442257,S292444116,,1
127,4273,species,Long-billed Hermit,Phaethornis longirostris,1,PN Carara--Sendero La Meandrica,CR-P,04 Jan 2026,L442257,S292444116,,1
128,35174,species,Red-legged Honeycreeper,Cyanerpes cyaneus,4,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
129,34761,species,White-shouldered Tanager,Loriotus luctuosus,1,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
130,34580,species,Blue-black Grosbeak,Cyanoloxia cyanoides,1,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
131,33051,species,Orange-billed Sparrow,Arremon aurantiirostris,1,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
132,32041,species,Spot-crowned Euphonia,Euphonia imitans,1,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
133,32018,species,Yellow-crowned Euphonia,Euphonia luteicapilla,1,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
134,27540,species,Riverside Wren,Cantorchilus semibadius,2,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
135,27483,species,Rufous-breasted Wren,Pheugopedius rutilus,4,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
136,27074,species,Long-billed Gnatwren,Ramphocaenus melanurus,1,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
137,19122,species,Ochre-crowned Greenlet,Tunchiornis ochraceiceps,4,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
138,19108,species,Green Shrike-Vireo,Vireolanius pulchellus,2,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
139,17284,species,Dusky-capped Flycatcher,Myiarchus tuberculifer,2,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
140,16453,species,Eye-ringed Flatbill,Rhynchocyclus brevirostris,2,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
141,15929,species,Rufous Piha,Lipaugus unirufus,1,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
142,14973,species,Northern Plain-Xenops,Xenops mexicanus,1,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
143,14821,species,Cocoa Woodcreeper,Xiphorhynchus susurrans,2,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
144,14683,species,Wedge-billed Woodcreeper,Glyphorynchus spirurus,1,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
145,14296,species,Streak-chested Antpitta,Hylopezus perspicillatus,1,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
146,13906,species,Dusky Antbird,Cercomacroides tyrannina,1,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
147,13817,species,Dot-winged Antwren,Microrhopias quixensis,1,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
148,13539,species,Black-hooded Antshrike,Thamnophilus bridgesi,6,PN Carara-Entrada principal [senderos Quebrada Bonita y Universal],CR-P,04 Jan 2026,L3354750,S292444129,,1
