comName,sciName,invasionStatus,conservStatus,reg_US_Northeast,reg_US_Southeast,reg_US_Midwest,reg_US_Rockies,reg_US_Southwest,reg_US_WestCoast,reg_Alaska,reg_Hawaii,reg_Canada_Greenland,reg_Central_America,reg_Caribbean
Guadalupe Junco,Junco insularis,Native,Vulnerable,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Yellow-eyed Junco,Junco phaeonotus,Native,Least concern,Absent,Absent,Present,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent
Baird's Junco,Junco bairdi,Native,Near threatened,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Volcano Junco,Junco vulcani,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Rufous-collared Sparrow,Zonotrichia capensis,Native,Least concern,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Present,Present
White-crowned Sparrow,Zonotrichia leucophrys,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Golden-crowned Sparrow,Zonotrichia atricapilla,Native,Least concern,Rare/Accidental,Rare/Accidental,Present,Present,Present,Present,Present,Absent,Present,Present,Absent
Harris's Sparrow,Zonotrichia querula,Native,Near threatened,Rare/Accidental,Rare/Accidental,Present,Present,Present,Present,Present,Absent,Present,Present,Present
White-throated Sparrow,Zonotrichia albicollis,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Sagebrush Sparrow,Artemisiospiza nevadensis,Native,Least concern,Absent,Rare/Accidental,Present,Present,Present,Present,Absent,Absent,Present,Present,Absent
Bell's Sparrow,Artemisiospiza belli,Native,Least concern,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Absent
Striped Sparrow,Oriturus superciliosus,Native,Least concern,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent
Vesper Sparrow,Pooecetes gramineus,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
LeConte's Sparrow,Ammospiza leconteii,Native,Least concern,Rare/Accidental,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Seaside Sparrow,Ammospiza maritima,Native,Least concern,Native,Native,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent
Nelson's Sparrow,Ammospiza nelsoni,Native,Least concern,Native,Native,Present,Present,Present,Present,Absent,Absent,Present,Present,Absent
Saltmarsh Sparrow,Ammospiza caudacuta,Native,Endangered,Native,Native,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present
Savannah Sparrow,Passerculus sandwichensis,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Baird's Sparrow,Centronyx bairdii,Native,,Rare/Accidental,Rare/Accidental,Present,Present,Present,Present,Absent,Absent,Present,Present,Absent
Henslow's Sparrow,Centronyx henslowii,Native,,Native,Native,Present,Present,Present,Absent,Absent,Absent,Present,Absent,Absent
Sierra Madre Sparrow,Xenospiza baileyi,Native,Endangered,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Song Sparrow,Melospiza melodia,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Lincoln's Sparrow,Melospiza lincolnii,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Swamp Sparrow,Melospiza georgiana,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Large-footed Finch,Pezopetes capitalis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Zapata Sparrow,Torreornis inexpectata,Native,Near threatened,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
Rusty-crowned Ground-Sparrow,Melozone kieneri,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Canyon Towhee,Melozone fusca,Native,Least concern,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent
White-throated Towhee,Melozone albicollis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Abert's Towhee,Melozone aberti,Native,Least concern,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Present,Absent
California Towhee,Melozone crissalis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent
Gray-crowned Ground-Sparrow,Melozone occipitalis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
White-eared Ground-Sparrow,Melozone leucotis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
White-faced Ground-Sparrow,Melozone biarcuata,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Cabanis's Ground-Sparrow,Melozone cabanisi,Native,Near threatened,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Rusty Sparrow,Aimophila rufescens,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Rufous-crowned Sparrow,Aimophila ruficeps,Native,Least concern,Absent,Rare/Accidental,Present,Present,Present,Present,Absent,Absent,Absent,Present,Absent
Oaxaca Sparrow,Aimophila notosticta,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Green-tailed Towhee,Pipilo chlorurus,Native,Least concern,Rare/Accidental,Rare/Accidental,Present,Present,Present,Present,Absent,Absent,Present,Present,Present
Spotted Towhee,Pipilo maculatus,Native,Least concern,Rare/Accidental,Rare/Accidental,Present,Present,Present,Present,Present,Absent,Present,Present,Absent
Eastern Towhee,Pipilo erythrophthalmus,Native,Least concern,Native,Native,Present,Present,Present,Present,Absent,Absent,Present,Absent,Present
Collared Towhee,Pipilo ocai,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Rufous-capped Brushfinch,Atlapetes pileatus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
White-naped Brushfinch,Atlapetes albinucha,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Yellow-thighed Brushfinch,Atlapetes tibialis,Native,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Yellow-green Brushfinch,Atlapetes luteoviridis,Native,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Western Chat-Tanager,Calyptophilus tertius,Native,Vulnerable,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
Eastern Chat-Tanager,Calyptophilus frugivorus,Native,Near threatened,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
Black-crowned Palm-Tanager,Phaenicophilus palmarum,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
Gray-crowned Palm-Tanager,Phaenicophilus poliocephalus,Native,Near threatened,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
White-winged Warbler,Xenoligea montana,Native,Vulnerable,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
Green-tailed Warbler,Microligea palustris,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
Puerto Rican Tanager,Nesospingus speculiferus,Native,Vulnerable,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
Western Spindalis,Spindalis zena,Native,Least concern,Absent,Native,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Native
Jamaican Spindalis,Spindalis nigricephala,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
Hispaniolan Spindalis,Spindalis dominicensis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
Puerto Rican Spindalis,Spindalis portoricensis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
Wrenthrush,Zeledonia coronata,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Yellow-headed Warbler,Teretistris fernandinae,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
Oriente Warbler,Teretistris fornsi,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
Yellow-breasted Chat,Icteria virens,Native,Least concern,Native,Native,Present,Present,Present,Present,Absent,Absent,Present,Present,Present
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Native,Least concern,Rare/Accidental,Rare/Accidental,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Bobolink,Dolichonyx oryzivorus,Native,Near threatened,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Western Meadowlark,Sturnella neglecta,Native,Least concern,Rare/Accidental,Rare/Accidental,Present,Present,Present,Present,Present,Present,Present,Present,Absent
Eastern Meadowlark,Sturnella magna,Native,Near threatened,Native,Native,Present,Present,Present,Present,Absent,Absent,Present,Present,Present
Chihuahuan Meadowlark,Sturnella lilianae,Native,Data deficient,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Present,Absent
Red-breasted Meadowlark,Leistes militaris,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
