comName,sciName,invasionStatus,conservStatus,reg_US_Northeast,reg_US_Southeast,reg_US_Midwest,reg_US_Rockies,reg_US_Southwest,reg_US_WestCoast,reg_Alaska,reg_Hawaii,reg_Canada_Greenland,reg_Central_America,reg_Caribbean
Imperial Amazon,Amazona imperialis,Native,Critically endangered,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
St. Vincent Amazon,Amazona guildingii,Native,Vulnerable,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
Orange-winged Amazon,Amazona amazonica,Introduced,Least concern,Absent,Introduced,Absent,Absent,Absent,Introduced,Absent,Absent,Absent,Absent,Introduced
Mexican Parrotlet,Forpus cyanopygius,Native,Near threatened,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Green-rumped Parrotlet,Forpus passerinus,Native,Least concern,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
Spectacled Parrotlet,Forpus conspicillatus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Pacific Parrotlet,Forpus coelestis,Rare/Accidental,,Absent,Absent,Rare/Accidental,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Black-headed Parrot,Pionites melanocephalus,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Red-fan Parrot,Deroptyus accipitrinus,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Maroon-bellied Parakeet,Pyrrhura frontalis,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Green-cheeked Parakeet,Pyrrhura molinae,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Rare/Accidental,Rare/Accidental,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental
Subandean Parakeet,Pyrrhura subandina,Native,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Black-capped Parakeet,Pyrrhura rupicola,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Sulphur-winged Parakeet,Pyrrhura hoffmanni,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Burrowing Parakeet,Cyanoliseus patagonus,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent
Hyacinth Macaw,Anodorhynchus hyacinthinus,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Thick-billed Parrot,Rhynchopsitta pachyrhyncha,Native,Endangered,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent
Maroon-fronted Parrot,Rhynchopsitta terrisi,Native,Endangered,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Olive-throated Parakeet,Eupsittula nana,Native,Near threatened,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Present
Orange-fronted Parakeet,Eupsittula canicularis,Native,Vulnerable,Rare/Accidental,Rare/Accidental,Present,Absent,Present,Present,Absent,Absent,Absent,Present,Present
Peach-fronted Parakeet,Eupsittula aurea,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Brown-throated Parakeet,Eupsittula pertinax,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Carolina Parakeet,Conuropsis carolinensis,Rare/Accidental,,Absent,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
Dusky-headed Parakeet,Aratinga weddellii,Rare/Accidental,,Absent,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
Nanday Parakeet,Aratinga nenday,Introduced,Least concern,Rare/Accidental,Introduced,Introduced,Introduced,Introduced,Introduced,Absent,Introduced,Introduced,Introduced,Introduced
Sun Parakeet,Aratinga solstitialis,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Rare/Accidental
Jandaya Parakeet,Aratinga jandaya,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Rare/Accidental
Red-bellied Macaw,Orthopsittaca manilatus,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Blue-and-yellow Macaw,Ara ararauna,Native,Least concern,Rare/Accidental,Rare/Accidental,Absent,Absent,Present,Present,Absent,Present,Absent,Present,Present
Chestnut-fronted Macaw,Ara severus,Native,Least concern,Absent,Introduced,Present,Absent,Present,Absent,Absent,Absent,Absent,Present,Present
Cuban Macaw,Ara tricolor,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Red-fronted Macaw,Ara rubrogenys,Rare/Accidental,,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent
Military Macaw,Ara militaris,Native,Vulnerable,Absent,Rare/Accidental,Absent,Absent,Present,Present,Absent,Absent,Absent,Present,Present
Great Green Macaw,Ara ambiguus,Native,Critically endangered,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent
Scarlet Macaw,Ara macao,Native,Least concern,Absent,Rare/Accidental,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present
Red-and-green Macaw,Ara chloropterus,Native,Least concern,Absent,Rare/Accidental,Absent,Absent,Absent,Present,Absent,Present,Absent,Present,Present
Golden Parakeet,Guaruba guarouba,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
Blue-crowned Parakeet,Thectocercus acuticaudatus,Introduced,Least concern,Absent,Introduced,Introduced,Absent,Introduced,Introduced,Absent,Introduced,Absent,Introduced,Introduced
Red-shouldered Macaw,Diopsittaca nobilis,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Green Parakeet,Psittacara holochlorus,Native,Least concern,Absent,Rare/Accidental,Absent,Absent,Present,Present,Absent,Absent,Absent,Present,Absent
Socorro Parakeet,Psittacara brevipes,Native,Data deficient,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Pacific Parakeet,Psittacara strenuus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Crimson-fronted Parakeet,Psittacara finschi,Native,Least concern,Absent,Rare/Accidental,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent
Scarlet-fronted Parakeet,Psittacara wagleri,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Mitred Parakeet,Psittacara mitratus,Introduced,Least concern,Rare/Accidental,Introduced,Introduced,Absent,Introduced,Introduced,Absent,Introduced,Introduced,Introduced,Introduced
Red-masked Parakeet,Psittacara erythrogenys,Introduced,Near threatened,Rare/Accidental,Introduced,Absent,Absent,Introduced,Introduced,Absent,Introduced,Absent,Introduced,Introduced
White-eyed Parakeet,Psittacara leucophthalmus,Introduced,Least concern,Absent,Introduced,Absent,Absent,Absent,Introduced,Absent,Absent,Absent,Absent,Introduced
Cuban Parakeet,Psittacara euops,Native,Vulnerable,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
Hispaniolan Parakeet,Psittacara chloropterus,Native,Vulnerable,Absent,Rare/Accidental,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
Puerto Rican Parakeet,Psittacara maugei,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Sapayoa,Sapayoa aenigma,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Rufous-rumped Antwren,Euchrepomis callinota,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Fasciated Antshrike,Cymbilaimus lineatus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Great Antshrike,Taraba major,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Black-crested Antshrike,Sakesphorus canadensis,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Barred Antshrike,Thamnophilus doliatus,Native,Least concern,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Present
Black-crowned Antshrike,Thamnophilus atrinucha,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Black-hooded Antshrike,Thamnophilus bridgesi,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Black Antshrike,Thamnophilus nigriceps,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Russet Antshrike,Thamnistes anabatinus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Plain Antvireo,Dysithamnus mentalis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Streak-crowned Antvireo,Dysithamnus striaticeps,Native,Near threatened,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Spot-crowned Antvireo,Dysithamnus puncticeps,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Spiny-faced Antshrike,Xenornis setifrons,Native,Near threatened,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Checker-throated Stipplethroat,Epinecrophylla fulviventris,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Moustached Antwren,Myrmotherula ignota,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Pacific Antwren,Myrmotherula pacifica,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
White-flanked Antwren,Myrmotherula axillaris,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Slaty Antwren,Myrmotherula schisticolor,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Rusty-winged Antwren,Herpsilochmus frater,Native,Data deficient,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Dot-winged Antwren,Microrhopias quixensis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Northern White-fringed Antwren,Formicivora intermedia,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Rare/Accidental
Dusky Antbird,Cercomacroides tyrannina,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Jet Antbird,Cercomacra nigricans,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Bare-crowned Antbird,Gymnocichla nudiceps,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Silvered Antbird,Sclateria naevia,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
White-bellied Antbird,Myrmeciza longipes,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Chestnut-backed Antbird,Poliocrania exsul,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Dull-mantled Antbird,Sipia laemosticta,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Zeledon's Antbird,Hafferia zeledoni,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Wing-banded Antbird,Myrmornis torquata,Native,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Bicolored Antbird,Gymnopithys bicolor,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Spotted Antbird,Hylophylax naevioides,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Ocellated Antbird,Phaenostictus mcleannani,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Black-crowned Antpitta,Pittasoma michleri,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Scaled Antpitta,Grallaria guatimalensis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Streak-chested Antpitta,Hylopezus perspicillatus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Thicket Antpitta,Myrmothera dives,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Ochre-breasted Antpitta,Grallaricula flavirostris,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Silvery-fronted Tapaculo,Scytalopus argentifrons,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Tacarcuna Tapaculo,Scytalopus panamensis,Native,Near threatened,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Choco Tapaculo,Scytalopus chocoensis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Mayan Antthrush,Formicarius moniliger,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Black-faced Antthrush,Formicarius analis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Black-capped Antthrush,Formicarius nigricapillus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Rufous-breasted Antthrush,Formicarius rufipectus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Middle American Leaftosser,Sclerurus mexicanus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Scaly-throated Leaftosser,Sclerurus guatemalensis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Gray-throated Leaftosser,Sclerurus albigularis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Olivaceous Woodcreeper,Sittasomus griseicapillus,Native,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Piping Long-tailed Woodcreeper,Deconychura typica,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Ruddy Woodcreeper,Dendrocincla homochroa,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Tawny-winged Woodcreeper,Dendrocincla anabatina,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Plain-brown Woodcreeper,Dendrocincla fuliginosa,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Wedge-billed Woodcreeper,Glyphorynchus spirurus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Northern Barred-Woodcreeper,Dendrocolaptes sanctithomae,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Black-banded Woodcreeper,Dendrocolaptes picumnus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Cocoa Woodcreeper,Xiphorhynchus susurrans,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Ivory-billed Woodcreeper,Xiphorhynchus flavigaster,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Black-striped Woodcreeper,Xiphorhynchus lachrymosus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Spotted Woodcreeper,Xiphorhynchus erythropygius,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Straight-billed Woodcreeper,Dendroplex picus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Red-billed Scythebill,Campylorhamphus trochilirostris,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Brown-billed Scythebill,Campylorhamphus pusillus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Streak-headed Woodcreeper,Lepidocolaptes souleyetii,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
White-striped Woodcreeper,Lepidocolaptes leucogaster,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Spot-crowned Woodcreeper,Lepidocolaptes affinis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Northern Plain-Xenops,Xenops mexicanus,Native,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Streaked Xenops,Xenops rutilans,Native,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Buffy Tuftedcheek,Pseudocolaptes lawrencii,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Sharp-tailed Streamcreeper,Lochmias nematura,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Slaty-winged Foliage-gleaner,Neophilydor fuscipenne,Native,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Lineated Foliage-gleaner,Syndactyla subalaris,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Buff-fronted Foliage-gleaner,Dendroma rufa,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Ruddy Foliage-gleaner,Clibanornis rubiginosus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Streak-breasted Treehunter,Thripadectes rufobrunneus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Fawn-throated Foliage-gleaner,Automolus cervinigularis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Chiriqui Foliage-gleaner,Automolus exsertus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Ochre-throated Foliage-gleaner,Automolus ochrolaemus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Western Woodhaunter,Automolus virgatus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Spotted Barbtail,Premnoplex brunnescens,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Beautiful Treerunner,Margarornis bellulus,Native,Near threatened,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Ruddy Treerunner,Margarornis rubiginosus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Double-banded Graytail,Xenerpestes minlosi,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Coiba Spinetail,Cranioleuca dissita,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Red-faced Spinetail,Cranioleuca erythrops,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Yellow-chinned Spinetail,Certhiaxis cinnamomeus,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Slaty Spinetail,Synallaxis brachyura,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Pale-breasted Spinetail,Synallaxis albescens,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Rufous-breasted Spinetail,Synallaxis erythrothorax,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Stripe-breasted Spinetail,Synallaxis cinnamomea,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Lance-tailed Manakin,Chiroxiphia lanceolata,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Long-tailed Manakin,Chiroxiphia linearis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Blue-backed Manakin,Chiroxiphia pareola,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
White-ruffed Manakin,Corapipo altera,Native,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Choco Manakin,Cryptopipo litae,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Velvety Manakin,Lepidothrix velutina,Native,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
White-collared Manakin,Manacus candei,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Orange-collared Manakin,Manacus aurantiacus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Golden-collared Manakin,Manacus vitellinus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
White-bearded Manakin,Manacus manacus,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
White-crowned Manakin,Pseudopipra pipra,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Red-capped Manakin,Ceratopipra mentalis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Golden-headed Manakin,Ceratopipra erythrocephala,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Purple-throated Fruitcrow,Querula purpurata,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Bare-necked Umbrellabird,Cephalopterus glabricollis,Native,Endangered,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Lovely Cotinga,Cotinga amabilis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Turquoise Cotinga,Cotinga ridgwayi,Native,Vulnerable,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Blue Cotinga,Cotinga nattererii,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Rufous Piha,Lipaugus unirufus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Three-wattled Bellbird,Procnias tricarunculatus,Native,Vulnerable,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Bearded Bellbird,Procnias averano,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Black-tipped Cotinga,Carpodectes hopkei,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Yellow-billed Cotinga,Carpodectes antoniae,Native,Near threatened,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Snowy Cotinga,Carpodectes nitidus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Black-tailed Tityra,Tityra cayana,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental
Black-crowned Tityra,Tityra inquisitor,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Masked Tityra,Tityra semifasciata,Native,Least concern,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent
Northern Schiffornis,Schiffornis veraepacis,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Russet-winged Schiffornis,Schiffornis stenorhyncha,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Speckled Mourner,Laniocera rufescens,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Barred Becard,Pachyramphus versicolor,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Cinereous Becard,Pachyramphus rufus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Cinnamon Becard,Pachyramphus cinnamomeus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
White-winged Becard,Pachyramphus polychopterus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Black-and-white Becard,Pachyramphus albogriseus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Gray-collared Becard,Pachyramphus major,Native,Least concern,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent
Rose-throated Becard,Pachyramphus aglaiae,Native,Least concern,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent
Jamaican Becard,Pachyramphus niger,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native
