speciesCode,comName,sciName,reg_US_Northeast,reg_US_Southeast,reg_US_Midwest,reg_US_Rockies,reg_US_Southwest,reg_US_WestCoast,reg_Alaska,reg_Hawaii,reg_Canada_Greenland,reg_Central_America,reg_Caribbean
grybun,Gray Bunting,Emberiza variabilis,,,,,,,Present,,,,
ytbtan1,Yellow-throated Chlorospingus,Chlorospingus flavigularis,,,,,,,,,,Present,
atbtan1,Ashy-throated Chlorospingus,Chlorospingus canigularis,,,,,,,,,,Present,
scbtan1,Sooty-capped Chlorospingus,Chlorospingus pileatus,,,,,,,,,,Present,
cobtan1,Common Chlorospingus,Chlorospingus flavopectus,,,,,,,,,,Present,
tabtan1,Tacarcuna Chlorospingus,Chlorospingus tacarcunae,,,,,,,,,,Present,
pibtan1,Pirre Chlorospingus,Chlorospingus inornatus,,,,,,,,,,Present,
ruwspa,Rufous-winged Sparrow,Peucaea carpalis,,,,,Present,,,,,Present,
citspa1,Cinnamon-tailed Sparrow,Peucaea sumichrasti,,,,,,,,,,Present,
sthspa1,Stripe-headed Sparrow,Peucaea ruficauda,,,,,,,,,,Present,
blcspa1,Black-chested Sparrow,Peucaea humeralis,,,,,,,,,,Present,
brispa1,Bridled Sparrow,Peucaea mystacalis,,,,,,,,,,Present,
botspa,Botteri's Sparrow,Peucaea botterii,,,,,Present,,,,,Present,
casspa,Cassin's Sparrow,Peucaea cassinii,Present,Present,Present,Present,Present,Present,,,Present,Present,
bacspa,Bachman's Sparrow,Peucaea aestivalis,Present,Present,Present,,Present,,,,Present,,
graspa,Grasshopper Sparrow,Ammodramus savannarum,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
olispa,Olive Sparrow,Arremonops rufivirgatus,,,,,Present,,,,,Present,
grbspa1,Green-backed Sparrow,Arremonops chloronotus,,,,,,,,,,Present,
blsspa1,Black-striped Sparrow,Arremonops conirostris,,,,,,,,,,Present,
chispa,Chipping Sparrow,Spizella passerina,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
clcspa,Clay-colored Sparrow,Spizella pallida,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
bkcspa,Black-chinned Sparrow,Spizella atrogularis,,,,Present,Present,Present,,,,Present,
fiespa,Field Sparrow,Spizella pusilla,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
brespa,Brewer's Sparrow,Spizella breweri,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
worspa,Worthen's Sparrow,Spizella wortheni,,,,,Present,,,,,Present,
fisspa,Five-striped Sparrow,Amphispizopsis quinquestriata,,,,,Present,,,,,Present,
bktspa,Black-throated Sparrow,Amphispiza bilineata,Present,Present,Present,Present,Present,Present,,,Present,Present,
larspa,Lark Sparrow,Chondestes grammacus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
larbun,Lark Bunting,Calamospiza melanocorys,Present,Present,Present,Present,Present,Present,,,Present,Present,
sthbrf3,Costa Rican Brushfinch,Arremon costaricensis,,,,,,,,,,Present,
sthbrf1,Black-headed Brushfinch,Arremon atricapillus,,,,,,,,,,Present,
orbspa1,Orange-billed Sparrow,Arremon aurantiirostris,,,,,,,,,,Present,
gsbfin1,Green-striped Brushfinch,Arremon virenticeps,,,,,,,,,,Present,
ccbfin,Chestnut-capped Brushfinch,Arremon brunneinucha,,,,,,,,,,Present,
soffin1,Sooty-faced Finch,Arremon crassirostris,,,,,,,,,,Present,
amtspa,American Tree Sparrow,Spizelloides arborea,Present,Present,Present,Present,Present,Present,Present,,Present,,Present
foxspa,Fox Sparrow,Passerella iliaca,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
daejun,Dark-eyed Junco,Junco hyemalis,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
daejun2,Guadalupe Junco,Junco insularis,,,,,,,,,,Present,
yeejun,Yellow-eyed Junco,Junco phaeonotus,,,Present,,Present,,,,,Present,
yeejun2,Baird's Junco,Junco bairdi,,,,,,,,,,Present,
voljun1,Volcano Junco,Junco vulcani,,,,,,,,,,Present,
rucspa1,Rufous-collared Sparrow,Zonotrichia capensis,,,,Present,,,,,,Present,Present
whcspa,White-crowned Sparrow,Zonotrichia leucophrys,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
gocspa,Golden-crowned Sparrow,Zonotrichia atricapilla,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
harspa,Harris's Sparrow,Zonotrichia querula,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
whtspa,White-throated Sparrow,Zonotrichia albicollis,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
sagspa1,Sagebrush Sparrow,Artemisiospiza nevadensis,,Present,Present,Present,Present,Present,,,Present,Present,
belspa2,Bell's Sparrow,Artemisiospiza belli,,,,Present,Present,Present,,,Present,Present,
strspa1,Striped Sparrow,Oriturus superciliosus,,,,,Present,,,,,Present,
vesspa,Vesper Sparrow,Pooecetes gramineus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
lecspa,LeConte's Sparrow,Ammospiza leconteii,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
seaspa,Seaside Sparrow,Ammospiza maritima,Present,Present,,,Present,,,,Present,Present,
nstspa,Nelson's Sparrow,Ammospiza nelsoni,Present,Present,Present,Present,Present,Present,,,Present,Present,
sstspa,Saltmarsh Sparrow,Ammospiza caudacuta,Present,Present,,,,,,,Present,,Present
savspa,Savannah Sparrow,Passerculus sandwichensis,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
baispa,Baird's Sparrow,Centronyx bairdii,Present,Present,Present,Present,Present,Present,,,Present,Present,
henspa,Henslow's Sparrow,Centronyx henslowii,Present,Present,Present,Present,Present,,,,Present,,
simspa1,Sierra Madre Sparrow,Xenospiza baileyi,,,,,,,,,,Present,
sonspa,Song Sparrow,Melospiza melodia,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
linspa,Lincoln's Sparrow,Melospiza lincolnii,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
swaspa,Swamp Sparrow,Melospiza georgiana,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
laffin1,Large-footed Finch,Pezopetes capitalis,,,,,,,,,,Present,
zapspa1,Zapata Sparrow,Torreornis inexpectata,,,,,,,,,,,Present
rcgspa1,Rusty-crowned Ground-Sparrow,Melozone kieneri,,,,,,,,,,Present,
cantow,Canyon Towhee,Melozone fusca,,,Present,Present,Present,,,,,Present,
whttow1,White-throated Towhee,Melozone albicollis,,,,,,,,,,Present,
abetow,Abert's Towhee,Melozone aberti,,,Present,Present,Present,Present,,,,Present,
caltow,California Towhee,Melozone crissalis,,,,,,Present,,,,Present,
whegrs1,Gray-crowned Ground-Sparrow,Melozone occipitalis,,,,,,,,,,Present,
whegrs2,White-eared Ground-Sparrow,Melozone leucotis,,,,,,,,,,Present,
pregrs1,White-faced Ground-Sparrow,Melozone biarcuata,,,,,,,,,,Present,
pregrs2,Cabanis's Ground-Sparrow,Melozone cabanisi,,,,,,,,,,Present,
russpa1,Rusty Sparrow,Aimophila rufescens,,,,,,,,,,Present,
rucspa,Rufous-crowned Sparrow,Aimophila ruficeps,,Present,Present,Present,Present,Present,,,,Present,
oaxspa1,Oaxaca Sparrow,Aimophila notosticta,,,,,,,,,,Present,
gnttow,Green-tailed Towhee,Pipilo chlorurus,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
spotow,Spotted Towhee,Pipilo maculatus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,
eastow,Eastern Towhee,Pipilo erythrophthalmus,Present,Present,Present,Present,Present,Present,,,Present,,Present
coltow1,Collared Towhee,Pipilo ocai,,,,,,,,,,Present,
rcbfin1,Rufous-capped Brushfinch,Atlapetes pileatus,,,,,,,,,,Present,
wnbfin1,White-naped Brushfinch,Atlapetes albinucha,,,,,,,,,,Present,
yetfin1,Yellow-thighed Brushfinch,Atlapetes tibialis,,,,,,,,,,Present,
yegfin1,Yellow-green Brushfinch,Atlapetes luteoviridis,,,,,,,,,,Present,
wectan1,Western Chat-Tanager,Calyptophilus tertius,,,,,,,,,,,Present
eactan1,Eastern Chat-Tanager,Calyptophilus frugivorus,,,,,,,,,,,Present
bcptan1,Black-crowned Palm-Tanager,Phaenicophilus palmarum,,,,,,,,,,,Present
gcptan1,Gray-crowned Palm-Tanager,Phaenicophilus poliocephalus,,,,,,,,,,,Present
whwwar1,White-winged Warbler,Xenoligea montana,,,,,,,,,,,Present
grtwar1,Green-tailed Warbler,Microligea palustris,,,,,,,,,,,Present
purtan1,Puerto Rican Tanager,Nesospingus speculiferus,,,,,,,,,,,Present
wesspi,Western Spindalis,Spindalis zena,,Present,,,,,,,,Present,Present
jamspi,Jamaican Spindalis,Spindalis nigricephala,,,,,,,,,,,Present
hisspi,Hispaniolan Spindalis,Spindalis dominicensis,,,,,,,,,,,Present
purspi,Puerto Rican Spindalis,Spindalis portoricensis,,,,,,,,,,,Present
wrenth1,Wrenthrush,Zeledonia coronata,,,,,,,,,,Present,
yehwar1,Yellow-headed Warbler,Teretistris fernandinae,,,,,,,,,,,Present
oriwar1,Oriente Warbler,Teretistris fornsi,,,,,,,,,,,Present
yebcha,Yellow-breasted Chat,Icteria virens,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
yehbla,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
