speciesCode,comName,sciName,reg_US_Northeast,reg_US_Southeast,reg_US_Midwest,reg_US_Rockies,reg_US_Southwest,reg_US_WestCoast,reg_Alaska,reg_Hawaii,reg_Canada_Greenland,reg_Central_America,reg_Caribbean
blwbis1,Black-winged Bishop,Euplectes hordeaceus,,,,,,Present,,,,,
yecbis,Yellow-crowned Bishop,Euplectes afer,Present,,,,,Present,,,,,Present
whwwid1,White-winged Widowbird,Euplectes albonotatus,Present,,,,,Present,,,,,
recwid3,Red-collared Widowbird,Euplectes ardens,Present,,,,,,,,,,
diafir1,Diamond Firetail,Stagonopleura guttata,,,,,,Present,,,,,Present
rebfir1,Red-browed Firetail,Neochmia temporalis,,,Present,,,Present,,,,,
stafin1,Star Finch,Emblema ruficauda,,,,,,Present,,,,,
dobfin1,Double-barred Finch,Stizoptera bichenovii,,,,,,Present,,,Present,,
zebfin2,Zebra Finch,Taeniopygia guttata,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
broman1,Bronze Mannikin,Spermestes cucullata,,Present,,,Present,Present,,,,,Present
magman1,Magpie Mannikin,Spermestes fringilloides,,Present,,,Present,,,,,,
bawman1,Black-and-white Mannikin,Spermestes bicolor,,Present,,,,Present,,,,,
afrsil1,African Silverbill,Euodice cantans,,,,,,,,Present,,,
indsil,Indian Silverbill,Euodice malabarica,,,,,Present,Present,,,,,Present
javspa,Java Sparrow,Padda oryzivora,Present,Present,Present,Present,,,,Present,Present,Present,Present
nutman,Scaly-breasted Munia,Lonchura punctulata,Present,Present,Present,Present,Present,Present,,Present,Present,Present,Present
whrmun,White-rumped Munia,Lonchura striata,,,,,,Present,,Present,Present,,Present
trimun,Tricolored Munia,Lonchura malacca,,Present,Present,,Present,Present,,,,Present,Present
chemun,Chestnut Munia,Lonchura atricapilla,Present,,,,,Present,,Present,,,Present
whhmun1,White-headed Munia,Lonchura maja,,,,,,Present,,,,,Present
goufin3,Gouldian Finch,Chloebia gouldiae,,Present,,,,Present,,,Present,Present,Present
lavwax,Lavender Waxbill,Glaucestrilda caerulescens,,Present,Present,,,,,Present,Present,,
orcwax,Orange-cheeked Waxbill,Estrilda melpoda,Present,Present,Present,,Present,Present,,Present,Present,,Present
comwax,Common Waxbill,Estrilda astrild,Present,Present,,,Present,Present,,Present,Present,,Present
bkrwax,Black-rumped Waxbill,Estrilda troglodytes,,,Present,,Present,Present,,Present,,,Present
crrwax1,Crimson-rumped Waxbill,Estrilda rhodopyga,,,,,,Present,,,,,
cutthr1,Cut-throat,Amadina fasciata,,,,,,Present,,,,,
rehfin1,Red-headed Finch,Amadina erythrocephala,,,,,,,,,Present,,
zebwax2,Zebra Waxbill,Amandava subflava,,Present,,,,Present,,,,,
redava,Red Avadavat,Amandava amandava,,Present,,,,Present,,Present,Present,,Present
purgre2,Purple Grenadier,Granatina ianthinogaster,,,,,,,,,,,Present
bubcor1,Southern Cordonbleu,Uraeginthus angolensis,,Present,,,,,,,,,
reccor,Red-cheeked Cordonbleu,Uraeginthus bengalus,Present,Present,Present,Present,,Present,,Present,Present,,Present
blccor1,Blue-capped Cordonbleu,Uraeginthus cyanocephalus,,,,,Present,Present,,Present,,,
grwpyt1,Green-winged Pytilia,Pytilia melba,,,,,,Present,,,,,
pettwi1,Red-throated Twinspot,Hypargos niveoguttatus,,,,,,Present,,,,,
rebfir2,Red-billed Firefinch,Lagonosticta senegala,,Present,,,Present,Present,,,,,
afffin,African Firefinch,Lagonosticta rubricata,,,,,,Present,,,,,
pitwhy,Pin-tailed Whydah,Vidua macroura,Present,Present,Present,,Present,Present,,Present,,,Present
topwhy1,Togo Paradise-Whydah,Vidua togoensis,,,,,,Present,,,,,
btpwhy1,Broad-tailed Paradise-Whydah,Vidua obtusa,,,,,,Present,,,,,
eapwhy1,Eastern Paradise-Whydah,Vidua paradisaea,Present,,,,,,,,Present,,
vilind,Village Indigobird,Vidua chalybeata,,Present,,Present,Present,Present,,,,,
sibacc,Siberian Accentor,Prunella montanella,,,,Present,,Present,Present,,Present,,
houspa,House Sparrow,Passer domesticus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
eutspa,Eurasian Tree Sparrow,Passer montanus,Present,Present,Present,Present,,Present,,,Present,,
sugspa1,Sudan Golden Sparrow,Passer luteus,,,,,,Present,,,,,
grywag,Gray Wagtail,Motacilla cinerea,,,,,,Present,Present,,Present,,
eaywag,Eastern Yellow Wagtail,Motacilla tschutschensis,Present,Present,,Present,,Present,Present,,Present,Present,
citwag,Citrine Wagtail,Motacilla citreola,,Present,,,,Present,Present,,Present,,
whiwag,White Wagtail,Motacilla alba,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
meapip1,Meadow Pipit,Anthus pratensis,,,,,,,,,Present,,
trepip,Tree Pipit,Anthus trivialis,,,,,,,Present,,,,
olbpip,Olive-backed Pipit,Anthus hodgsoni,,,,Present,,Present,Present,,Present,Present,
pecpip,Pechora Pipit,Anthus gustavi,,,,,,,Present,,,,
retpip,Red-throated Pipit,Anthus cervinus,,,,Present,Present,Present,Present,,Present,Present,
sibpip1,Siberian Pipit,Anthus japonicus,,,,,,Present,Present,,Present,Present,
amepip,American Pipit,Anthus rubescens,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
sprpip,Sprague's Pipit,Anthus spragueii,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
yelpip2,Yellowish Pipit,Anthus chii,,,,,,,,,,Present,
comcha,Common Chaffinch,Fringilla coelebs,Present,,Present,,,,,,Present,,
brambl,Brambling,Fringilla montifringilla,Present,Present,Present,Present,,Present,Present,Present,Present,,
eleeup1,Elegant Euphonia,Chlorophonia elegantissima,,,,,,,,,,Present,
anteup2,Hispaniolan Euphonia,Chlorophonia musica,,,,,,,,,,,Present
anteup3,Puerto Rican Euphonia,Chlorophonia sclateri,,,,,,,,,,,Present
anteup4,Lesser Antillean Euphonia,Chlorophonia flavifrons,,,,,,,,,,,Present
yecchl1,Yellow-collared Chlorophonia,Chlorophonia flavirostris,,,,,,,,,,Present,
blcchl1,Blue-crowned Chlorophonia,Chlorophonia occipitalis,,,,,,,,,,Present,
gobchl1,Golden-browed Chlorophonia,Chlorophonia callophrys,,,,,,,,,,Present,
jameup1,Jamaican Euphonia,Euphonia jamaica,,,,,,,,,,,Present
trieup1,Trinidad Euphonia,Euphonia trinitatis,,,,,,,,,,,Present
screup3,West Mexican Euphonia,Euphonia godmani,,,,,,,,,,Present,
screup1,Scrub Euphonia,Euphonia affinis,,,,,,,,,,Present,
yeceup1,Yellow-crowned Euphonia,Euphonia luteicapilla,,,,,,,,,,Present,
whveup1,White-vented Euphonia,Euphonia minuta,,,,,,,,,,Present,
vioeup1,Violaceous Euphonia,Euphonia violacea,,,,,,,,,,,Present
yeteup1,Yellow-throated Euphonia,Euphonia hirundinacea,,,,,,,,,,Present,
thbeup1,Thick-billed Euphonia,Euphonia laniirostris,,,,,,,,,,Present,
spceup1,Spot-crowned Euphonia,Euphonia imitans,,,,,,,,,,Present,
olbeup1,Olive-backed Euphonia,Euphonia gouldi,,,,,,,,,,Present,
fuveup1,Fulvous-vented Euphonia,Euphonia fulvicrissa,,,,,,,,,,Present,
taceup1,Tawny-capped Euphonia,Euphonia anneae,,,,,,,,,,Present,
orbeup1,Orange-bellied Euphonia,Euphonia xanthogaster,,,,,,,,,,Present,
hoogro1,Hooded Grosbeak,Hesperiphona abeillei,,,,,,,,,,Present,
evegro,Evening Grosbeak,Hesperiphona vespertina,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
hawfin,Hawfinch,Coccothraustes coccothraustes,,,,,,Present,Present,,Present,,
poouli,Poo-uli,Melamprosops phaeosoma,,,,,,,,Present,,,
akikik,Akikiki,Oreomystis bairdi,,,,,,,,Present,,,
mauala,Maui Alauahio,Paroreomyza montana,,,,,,,,Present,,,
palila,Palila,Loxioides bailleui,,,,,,,,Present,,,
layfin,Laysan Finch,Telespiza cantans,,,,,,,,Present,,,
nihfin,Nihoa Finch,Telespiza ultima,,,,,,,,Present,,,
crehon,Akohekohe,Palmeria dolei,,,,,,,,Present,,,
apapan,Apapane,Himatione sanguinea,,,,,,,,Present,,,
iiwi,Iiwi,Drepanis coccinea,,,,,,,,Present,,,
ou,Ou,Psittirostra psittacea,,,,,,,,Present,,,
maupar,Maui Parrotbill,Pseudonestor xanthophrys,,,,,,,,Present,,,
nukupu2,Kauai Nukupuu,Hemignathus hanapepe,,,,,,,,Present,,,
akiapo,Akiapolaau,Hemignathus wilsoni,,,,,,,,Present,,,
aniani,Anianiau,Magumma parva,,,,,,,,Present,,,
hawama,Hawaii Amakihi,Chlorodrepanis virens,,,,,,,,Present,,,
oahama,Oahu Amakihi,Chlorodrepanis flava,,,,,,,,Present,,,
kauama,Kauai Amakihi,Chlorodrepanis stejnegeri,,,,,,,,Present,,,
hawcre,Hawaii Creeper,Loxops mana,,,,,,,,Present,,,
akekee,Akekee,Loxops caeruleirostris,,,,,,,,Present,,,
akepa1,Hawaii Akepa,Loxops coccineus,,,,,,,,Present,,,
akepa3,Maui Akepa,Loxops ochraceus,,,,,,,,Present,,,
comros,Common Rosefinch,Carpodacus erythrinus,,,,,,Present,Present,,,,
palros2,Pallas's Rosefinch,Carpodacus roseus,,,,,,,Present,,,,
pingro,Pine Grosbeak,Pinicola enucleator,Present,Present,Present,Present,Present,Present,Present,,Present,,Present
orabul1,Orange Bullfinch,Pyrrhula aurantiaca,Present,,,,,,,,,,
eurbul,Eurasian Bullfinch,Pyrrhula pyrrhula,,,,,,,Present,,Present,,
asrfin1,Asian Rosy-Finch,Leucosticte arctoa,,,,,,,Present,,,,
gcrfin,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,Present,Present,Present,Present,Present,Present,Present,,Present,,
bkrfin,Black Rosy-Finch,Leucosticte atrata,,,Present,Present,Present,Present,,,,,
bcrfin,Brown-capped Rosy-Finch,Leucosticte australis,,,,Present,Present,,,,,,
houfin,House Finch,Haemorhous mexicanus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
purfin,Purple Finch,Haemorhous purpureus,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
casfin,Cassin's Finch,Haemorhous cassinii,,Present,Present,Present,Present,Present,Present,,Present,Present,
eurgre1,European Greenfinch,Chloris chloris,Present,Present,Present,,,Present,,,Present,,
origre,Oriental Greenfinch,Chloris sinica,,,,,,Present,Present,,Present,,
whrsee,White-rumped Seedeater,Crithagra leucopygia,,,,,Present,Present,,,,,
yefcan,Yellow-fronted Canary,Crithagra mozambica,Present,Present,Present,Present,Present,Present,,Present,Present,,Present
